relative_time,AccX,AccY,AccZ,BarometerSensor,CompassSensor,,,,
25463,3.575165405,-7.215146027,6.643933868,984.9532318,336.8213196,,0,,
25528,4.279450836,-8.100255432,6.046825562,984.9532318,336.8213196,,0,,
25595,5.902076569,-13.94994095,4.366869049,984.9532318,334.5882874,,0,,
25663,3.148103485,-4.825365601,1.337468719,984.9532318,328.3883972,,0,,
25728,6.891219635,-10.47102539,1.011446686,984.9532318,315.8947144,,0,,
25795,5.932014313,-5.630840607,0.235310669,984.9532318,313.6876221,,0,,
25863,3.667523346,-3.148851929,0.481847992,984.9532318,313.6876221,,0,,
25929,6.511908417,-4.899012451,-0.267643433,984.9532318,313.6876221,,-0.009689331,,
25996,9.313332825,-9.006021881,1.520837402,984.9435425,312.3343201,,0,,
26063,7.205116882,-6.967111816,1.746567993,984.9435425,314.3739624,,0,,
26128,5.489534454,-5.300627289,2.012115784,984.9435425,318.3183899,,0,,
26195,6.187233582,-6.060147858,1.602118378,984.9435425,318.3183899,,0,,
26262,6.565796356,-6.739884338,2.030527496,984.9435425,318.3183899,,0,,
26328,6.219117279,-6.248156891,1.899400177,984.9435425,318.3183899,,0,,
26395,7.553592224,-7.360493774,2.140848083,984.9435425,318.3183899,,0,,
26462,8.448132019,-8.618777161,2.065105591,984.9435425,318.3183899,,0,,
26528,9.404044189,-9.44026886,2.398761749,984.9435425,317.0640869,,0,,
26595,8.413404236,-10.95332245,1.017284546,984.9435425,313.8623352,,0,,
26663,4.237537994,-6.939718781,0.29249176,984.9435425,303.6496582,,0,,
26728,3.817511444,-7.003486176,-0.348325653,984.9435425,296.1983337,,0,,
26795,3.313060455,-6.384373627,0.299676819,984.9435425,299.4463196,,0,,
26863,4.479434967,-6.764133911,0.186661835,984.9435425,304.9410706,,-0.014953613,,
26929,6.516399078,-8.789871368,1.225800934,984.9285889,308.7078857,,0,,
26995,6.224506073,-7.968080292,1.183289337,984.9285889,311.3344116,,0,,
27063,5.217550049,-7.185807037,1.929786987,984.9285889,314.7590027,,0,,
27128,5.077740784,-6.469546509,3.102298737,984.9285889,319.3003235,,0,,
27195,5.715564423,-7.843838654,2.507286072,984.9285889,320.5101318,,0,,
27262,6.621929626,-8.450676727,2.624791718,984.9285889,322.6180725,,0,,
27328,3.785627747,-7.281757507,3.26800415,984.9285889,328.3418579,,0,,
27395,3.641627197,-7.57050705,5.682034149,984.9285889,335.193573,,0,,
27462,2.595153351,-7.126230927,4.899461517,984.9285889,339.1630249,,0,,
27528,2.056573334,-7.048841858,5.322481842,984.9285889,342.1932678,,0,,
27596,1.759890289,-6.667285309,5.107229462,984.9285889,343.6188965,,0,,
27663,1.533261566,-6.959028625,6.956783295,984.9285889,343.6188965,,0,,
27729,8.571924591,-11.32484985,7.625891876,984.9285889,343.6188965,,0,,
27795,-0.149389343,-10.72235275,5.180427246,984.9285889,341.3691711,,0,,
27863,7.290439453,-7.942333832,2.509232025,984.9285889,337.2959595,,-0.016937256,,
27929,4.09997406,-7.869435425,0.498912506,984.9116516,320.984314,,0,,
27995,6.055956573,-7.665709076,-1.216520233,984.9116516,309.2658691,,0,,
28063,7.045698395,-5.289101257,-2.873125305,984.9116516,302.2750244,,0,,
28128,4.785997467,-4.144132233,-0.99572937,984.9116516,311.5655823,,0,,
28195,8.103548584,-6.709946594,-0.996627502,984.9116516,312.8803711,,0,,
